timestamp_ms,ear,pitch,yaw,roll,label
1776974047174,0.33355,7.52187,-50.62909,31.38271,Distracted
1776974048581,0.28882,5.30269,-47.67454,27.03930,Distracted
1776974048724,0.22542,-24.93799,-32.02743,3.66625,Distracted
1776974048864,0.10274,-26.82060,-26.10484,2.89807,Distracted
1776974048991,0.16056,-11.15650,-27.61469,10.89713,Distracted
1776974053840,0.28977,-26.76784,-21.29789,2.30495,Distracted
1776974053951,0.20797,-35.43140,-15.74509,-2.73865,Distracted
1776974054059,0.25842,-36.87207,-14.24375,-3.76471,Distracted
1776974054168,0.22079,-42.26068,-10.83473,-5.63238,Distracted
1776974054307,0.22931,-39.94000,-12.07395,-5.27543,Distracted
1776974054417,0.19328,-41.29841,-11.49882,-5.44344,Distracted
1776974054526,0.18876,-41.32514,-10.99708,-4.97012,Distracted
1776974054637,0.14958,-18.49329,-24.46668,1.75498,Distracted
1776974054743,0.17680,-40.84503,-7.51721,-4.11377,Distracted
1776974054854,0.19307,-41.06540,-8.01915,-4.00200,Distracted
1776974054965,0.22000,-39.56211,-9.51516,-3.60367,Distracted
1776974055074,0.18183,-40.07521,-11.05544,-5.22955,Distracted
1776974055182,0.13805,-37.99139,-14.09358,-5.65823,Distracted
1776974055291,0.18317,-33.58607,-17.45516,-5.14573,Distracted
1776974055430,0.26779,-31.15946,-22.12903,-3.99486,Distracted
1776974055554,0.23114,-35.16109,-18.20920,-2.20884,Distracted
1776974055678,0.18767,-35.52767,-18.86893,-4.84017,Distracted
1776974055807,0.17245,-37.11358,-18.72242,-5.30682,Distracted
1776974055960,0.14559,-36.42000,-17.48845,-4.32336,Distracted
1776974056100,0.16098,-36.66121,-15.61661,-2.63392,Distracted
1776974056238,0.21146,-4.07923,-27.03928,8.32609,Distracted
1776974056377,0.34177,-5.26252,-18.26259,5.30678,Distracted
1776974056507,0.27384,-5.36426,-21.92505,5.21993,Distracted
1776974056646,0.34799,-0.05283,-13.67602,3.73839,Distracted
1776974056768,0.35846,-1.28281,-11.60996,4.68810,Distracted
1776974056893,0.35511,-1.19408,-11.86093,4.71688,Distracted
1776974057032,0.37979,-1.88060,-12.61924,4.04481,Distracted
1776974057165,0.36376,-1.86956,-13.18493,4.52095,Distracted
1776974057451,0.13015,0.17149,-10.50440,3.61089,Distracted
1776974057574,0.12988,-15.38298,-11.56762,5.51104,Distracted
1776974057699,0.12766,-19.22002,-13.10320,8.39313,Distracted
1776974057824,0.15314,-19.42919,-16.54484,7.55541,Distracted
1776974057950,0.11841,-18.39871,-20.14534,6.85167,Distracted
1776974058139,0.19432,-12.17715,-32.12055,9.21812,Distracted
1776974058266,0.22461,-33.04765,-26.27844,-1.86114,Distracted
1776974058405,0.22641,-0.95371,-51.38359,25.36339,Distracted
1776974059156,0.33089,-0.91463,-25.93118,17.68773,Distracted
1776974059297,0.25235,0.52393,-16.51051,13.91114,Distracted
1776974059470,0.24124,-3.55138,-15.54810,10.06083,Distracted
1776974059732,0.18864,4.22618,-10.20589,3.53648,Distracted
1776974059872,0.19627,0.23873,-5.00080,-0.63302,Distracted
1776974060012,0.15291,5.16141,-4.60850,-1.86613,Distracted
1776974060152,0.20348,3.40826,-6.22819,-1.82518,Distracted
1776974060278,0.21772,4.86618,-8.38744,-3.70667,Distracted
1776974060402,0.20082,7.17598,-7.32766,-3.25797,Distracted
1776974060544,0.22143,1.25307,-8.07460,-2.71248,Distracted
1776974060663,0.28241,7.26083,-6.40604,-3.14016,Distracted
1776974060804,0.25821,4.22256,-7.09584,-1.68944,Distracted
1776974060945,0.25013,0.88817,-7.57332,-1.76316,Distracted
1776974061097,0.27349,4.00838,-10.94399,-0.48721,Distracted
1776974061355,0.26499,-3.81403,-16.36676,2.18315,Distracted
1776974061553,0.23666,-11.28941,-18.92258,1.86206,Distracted
1776974061691,0.23508,-15.41338,-20.55498,1.57067,Distracted
1776974061816,0.23629,-16.96697,-21.96903,1.24592,Distracted
1776974061941,0.24147,-15.76435,-23.89435,1.51184,Distracted
1776974062065,0.26916,-16.36484,-26.31679,2.05321,Distracted
1776974062191,0.28268,-15.67812,-27.64683,2.02632,Distracted
1776974062317,0.27059,-13.60888,-31.72828,1.83388,Distracted
1776974062425,0.25747,-13.97140,-30.92205,1.38868,Distracted
1776974062563,0.28118,-14.89670,-27.78291,1.79091,Distracted
1776974062714,0.18769,-11.06819,-31.48837,2.07346,Distracted
1776974062983,0.15487,-11.16248,-44.67083,4.23991,Distracted
1776974063107,0.16587,-11.82895,-43.38967,5.33848,Distracted
1776974063232,0.19848,-10.79939,-45.05018,6.87986,Distracted
1776974063357,0.21555,-10.18856,-46.21495,8.84998,Distracted
1776974063483,0.20081,-11.18101,-44.62339,11.48694,Distracted
1776974063608,0.16397,-8.93396,-43.60015,13.13094,Distracted
1776974063734,0.17736,-9.11679,-39.45412,17.20031,Distracted
1776974063861,0.24832,-11.14369,-37.80116,16.02303,Distracted
1776974063999,0.27656,-14.88501,-34.31011,15.27769,Distracted
1776974064295,0.27594,-15.39183,-30.39929,13.82882,Distracted
1776974064435,0.28858,-14.65039,-31.07562,13.93961,Distracted
